date,description,category,amount,account
2025-05-15,Company Payroll,Salary,2311.17,Checking
2025-06-07,Subway,Restaurants,-30.66,Checking
2025-09-01,Company Payroll,Salary,1317.21,Checking
2025-03-27,Trader Joe's,Groceries,-117.78,Checking
2025-08-30,Kaiser,Healthcare,-133.24,Checking
2025-04-17,Subway,Restaurants,-12.25,Checking
2025-08-22,Taco Truck,Restaurants,-33.52,Checking
2025-03-16,Whole Foods,Groceries,-27.24,Checking
2025-03-23,AT&T,Utilities,-52.75,Checking
2025-07-14,Taco Truck,Restaurants,-24.37,Checking
2025-03-02,City Gym,Healthcare,-39.99,Checking
2025-05-18,Walmart,Groceries,-126.68,Checking
2025-05-20,Taco Truck,Restaurants,-16.48,Checking
2025-04-01,Property Mgmt Co,Rent,-1805.77,Checking
2025-07-31,Ikea,Shopping,-69.4,Checking
2025-08-13,Comcast,Utilities,-91.75,Checking
2025-03-28,PayPal,Misc,-32.18,Checking
2025-03-07,Trader Joe's,Groceries,-42.58,Checking
2025-06-02,Company Payroll,Salary,2349.58,Checking
2025-05-19,Lyft,Transportation,-18.31,Checking
2025-03-27,Venmo,Misc,-6.7,Checking
2025-03-15,Olive Garden,Restaurants,-32.29,Checking
2025-08-16,Exxon,Transportation,-83.52,Checking
2025-08-10,Amazon,Shopping,-70.75,Checking
2025-04-23,iCloud,Entertainment,-2.99,Checking
2025-06-14,Spotify,Entertainment,-10.99,Checking
2025-07-03,Starbucks,Restaurants,-34.84,Checking
2025-04-02,Subway,Restaurants,-23.77,Checking
2025-06-26,Home Depot,Shopping,-40.76,Checking
2025-08-02,McDonald's,Restaurants,-20.28,Checking
2025-03-08,Starbucks,Restaurants,-23.89,Checking
2025-05-29,Subway,Restaurants,-12.7,Checking
2025-08-19,Walmart,Groceries,-75.13,Checking
2025-06-04,Property Mgmt Co,Rent,-1572.81,Checking
2025-05-11,Olive Garden,Restaurants,-29.12,Checking
2025-07-06,Olive Garden,Restaurants,-8.07,Checking
2025-04-05,PG&E,Utilities,-81.15,Checking
2025-02-01,Landlord LLC,Rent,-1917.92,Checking
2025-05-20,Local Deli,Restaurants,-19.73,Checking
2025-04-08,Subway,Restaurants,-18.9,Checking
2025-06-08,Netflix,Entertainment,-15.49,Checking
2025-05-18,Ikea,Shopping,-114.5,Checking
2025-06-16,Walgreens,Healthcare,-106.32,Checking
2025-05-09,McDonald's,Restaurants,-12.82,Checking
2025-05-11,Apple Cash,Misc,-41.77,Checking
2025-06-24,Target,Shopping,-71.07,Checking
2025-05-07,Safeway,Groceries,-103.44,Checking
2025-04-06,Starbucks,Restaurants,-9.85,Checking
2025-06-01,Starbucks,Restaurants,-28.22,Checking
2025-07-31,Kaiser,Healthcare,-126.26,Checking
2025-05-30,Ikea,Shopping,-60.21,Checking
2025-02-13,Spotify,Entertainment,-10.99,Checking
2025-05-25,AT&T,Utilities,-100.57,Checking
2025-05-05,Apple Cash,Misc,-31.6,Checking
2025-04-30,Target,Shopping,-113.28,Checking
2025-04-01,Company Payroll,Salary,2058.45,Checking
2025-06-21,Starbucks,Restaurants,-9.09,Checking
2025-04-12,Exxon,Transportation,-54.1,Checking
2025-08-05,Netflix,Entertainment,-15.49,Checking
2025-04-20,Uber,Transportation,-33.83,Checking
2025-07-25,Olive Garden,Restaurants,-22.11,Checking
2025-06-23,Taco Truck,Restaurants,-28.86,Checking
2025-05-05,Whole Foods,Groceries,-29.81,Checking
2025-07-25,Chipotle,Restaurants,-13.61,Checking
2025-06-18,Walmart,Groceries,-28.1,Checking
2025-08-09,Lyft,Transportation,-37.69,Checking
2025-05-03,City Gym,Healthcare,-39.99,Checking
2025-05-21,iCloud,Entertainment,-2.99,Checking
2025-06-07,PG&E,Utilities,-173.93,Checking
2025-05-14,Subway,Restaurants,-24.37,Checking
2025-07-05,Subway,Restaurants,-12.03,Checking
2025-05-26,Olive Garden,Restaurants,-26.93,Checking
2025-08-06,PG&E,Utilities,-109.61,Checking
2025-05-05,Landlord LLC,Rent,-1679.74,Checking
2025-04-20,Starbucks,Restaurants,-9.07,Checking
2025-03-04,Amazon,Shopping,-477.7,Checking
2025-03-08,Exxon,Transportation,-56.7,Checking
2025-09-21,iCloud,Entertainment,-2.99,Checking
2025-02-05,PG&E,Utilities,-170.17,Checking
2025-03-05,Subway,Restaurants,-25.81,Checking
2025-07-16,Local Deli,Restaurants,-10.0,Checking
2025-06-16,Company Payroll,Salary,2397.8,Checking
2025-08-20,Local Deli,Restaurants,-28.42,Checking
2025-05-14,Spotify,Entertainment,-10.99,Checking
2025-04-13,Local Deli,Restaurants,-11.53,Checking
2025-07-10,Best Buy,Shopping,-61.56,Checking
2025-05-23,Shell Gas,Transportation,-71.3,Checking
2025-08-15,Chipotle,Restaurants,-19.16,Checking
2025-04-19,McDonald's,Restaurants,-23.26,Checking
2025-03-12,Comcast,Utilities,-94.64,Checking
2025-07-13,Spotify,Entertainment,-10.99,Checking
2025-09-06,Netflix,Entertainment,-15.49,Checking
2025-05-23,Uber,Transportation,-23.82,Checking
2025-07-02,City Gym,Healthcare,-39.99,Checking
2025-02-09,Netflix,Entertainment,-15.49,Checking
2025-05-31,Uber,Transportation,-29.53,Checking
2025-06-21,Amazon,Shopping,-59.3,Checking
2025-05-08,Local Deli,Restaurants,-14.02,Checking
2025-04-21,Venmo,Misc,-117.68,Checking
2025-05-25,Exxon,Transportation,-52.79,Checking
2025-07-16,Chipotle,Restaurants,-15.86,Checking
2025-07-06,Costco,Groceries,-59.76,Checking
2025-08-27,Amazon,Shopping,-60.76,Checking
2025-05-07,PayPal,Misc,-12.39,Checking
2025-06-22,Chevron,Transportation,-31.58,Checking
2025-02-01,City Gym,Healthcare,-39.99,Checking
2025-08-16,Venmo,Misc,-117.73,Checking
2025-03-07,Venmo,Misc,-104.43,Checking
2025-06-24,Costco,Groceries,-87.81,Checking
2025-05-05,Chevron,Transportation,-43.47,Checking
2025-03-23,Local Deli,Restaurants,-16.42,Checking
2025-08-23,iCloud,Entertainment,-2.99,Checking
2025-04-29,Best Buy,Shopping,-70.85,Checking
2025-02-22,iCloud,Entertainment,-2.99,Checking
2025-05-14,Comcast,Utilities,-73.18,Checking
2025-05-06,Best Buy,Shopping,-62.21,Checking
2025-04-16,Whole Foods,Groceries,-42.8,Checking
2025-04-02,City Gym,Healthcare,-39.99,Checking
2025-06-11,Olive Garden,Restaurants,-17.11,Checking
2025-04-15,Company Payroll,Salary,2054.05,Checking
2025-07-21,Uber,Transportation,-33.72,Checking
2025-05-28,Chipotle,Restaurants,-27.85,Checking
2025-06-03,Chevron,Transportation,-54.79,Checking
2025-04-07,McDonald's,Restaurants,-26.08,Checking
2025-03-06,Netflix,Entertainment,-15.49,Checking
2025-03-17,Olive Garden,Restaurants,-31.56,Checking
2025-05-11,McDonald's,Restaurants,-18.86,Checking
2025-05-26,Safeway,Groceries,-136.8,Checking
2025-04-25,AT&T,Utilities,-92.11,Checking
2025-07-15,Company Payroll,Salary,2393.85,Checking
2025-05-27,Costco,Groceries,-67.46,Checking
2025-08-16,Whole Foods,Groceries,-65.02,Checking
2025-05-24,Home Depot,Shopping,-56.94,Checking
2025-06-23,Kaiser,Healthcare,-55.15,Checking
2025-06-24,Lyft,Transportation,-28.81,Checking
2025-05-15,PayPal,Misc,-13.91,Checking
2025-07-10,Olive Garden,Restaurants,-31.22,Checking
2025-03-08,CVS Pharmacy,Healthcare,-159.29,Checking
2025-06-09,Target,Shopping,-66.83,Checking
2025-06-27,Trader Joe's,Groceries,-78.75,Checking
2025-04-11,Kaiser,Healthcare,-48.59,Checking
2025-06-05,Starbucks,Restaurants,-20.79,Checking
2025-03-31,Local Deli,Restaurants,-10.13,Checking
2025-08-15,Company Payroll,Salary,2023.51,Checking
2025-04-24,Local Deli,Restaurants,-22.64,Checking
2025-06-26,Subway,Restaurants,-11.27,Checking
2025-07-21,Olive Garden,Restaurants,-31.45,Checking
2025-07-21,iCloud,Entertainment,-2.99,Checking
2025-03-18,Apple Cash,Misc,-16.26,Checking
2025-05-14,Taco Truck,Restaurants,-8.05,Checking
2025-08-02,Property Mgmt Co,Rent,-2156.05,Checking
2025-06-16,Walmart,Groceries,-50.23,Checking
2025-06-26,AT&T,Utilities,-73.74,Checking
2025-07-28,Taco Truck,Restaurants,-20.9,Checking
2025-03-03,Subway,Restaurants,-34.41,Checking
2025-04-09,Shell Gas,Transportation,-49.2,Checking
2025-03-15,CVS Pharmacy,Healthcare,-38.13,Checking
2025-05-11,Starbucks,Restaurants,-15.52,Checking
2025-06-13,Local Deli,Restaurants,-18.71,Checking
2025-05-27,Starbucks,Restaurants,-22.48,Checking
2025-03-30,Local Deli,Restaurants,-22.56,Checking
2025-03-08,Starbucks,Restaurants,-9.73,Checking
2025-04-09,PayPal,Misc,-10.07,Checking
2025-05-15,Taco Truck,Restaurants,-17.44,Checking
2025-04-11,Starbucks,Restaurants,-33.08,Checking
2025-05-06,PG&E,Utilities,-95.09,Checking
2025-07-11,Starbucks,Restaurants,-12.98,Checking
2025-05-01,Trader Joe's,Groceries,-37.87,Checking
2025-05-09,Kaiser,Healthcare,-141.36,Checking
2025-05-12,Local Deli,Restaurants,-19.65,Checking
2025-05-29,McDonald's,Restaurants,-16.11,Checking
2025-06-04,Apple Cash,Misc,-90.43,Checking
2025-09-03,City Gym,Healthcare,-39.99,Checking
2025-06-27,Taco Truck,Restaurants,-19.38,Checking
2025-09-25,AT&T,Utilities,-108.31,Checking
2025-03-17,Company Payroll,Salary,2289.3,Checking
2025-05-28,Chipotle,Restaurants,-20.71,Checking
2025-05-13,Apple Cash,Misc,-109.06,Checking
2025-06-11,PayPal,Misc,-45.46,Checking
