description,category
CARD 8258 SPORTS BAR #8258,Bars
PURCHASE PANERA BREAD *7269,Restaurants
CARD 5235 STREET VENDOR #5235,Other
VALERO,Gas
WEB 6385 H-E-B *6385,Grocery
CARD 6864 BREWER'S TAPROOM,Bars
HOME IMPROVEMENT,Other
FIVE GUYS,Restaurants
SPOTIFY /ONLINE,Entertainment
AUTH 2949 VENMO REQUEST,P2P
AUTH 4854 COX COMMUNICATIONS /ONLINE,Utilities
PURCHASE OPTOMETRY CENTER,Health
PAYMENT PEET'S COFFEE *3269,Coffee
POS 4499 TEXACO,Gas
AUTH 1864 SAFEWAY *1864,Grocery
POS 2033 SPIRIT AIRLINES #2033,Travel
CARD 3363 COCKTAIL CLUB #3363,Bars
TICKETMASTER /ONLINE,Entertainment
PURCHASE LOWE'S #5270,Shopping
SHELL STORE 2183,Gas
CARD 9415 VALERO *9415,Gas
CARD 6827 CIDER HOUSE - SAN JOSE CA,Bars
AUTH 3433 LEASE DEPOSIT,Rent
POS 4106 GAS COMPANY STORE 4106,Utilities
IKEA,Shopping
WEB 7486 MISC CHARGE,Other
CARD 1827 ALASKA AIR,Travel
PAYMENT CANCER CENTER #3559,Health
PAYMENT PEACOCK,Entertainment
PAYMENT PAYLEASE,Rent
AUTH 9446 HOSPITAL BILL,Health
PAYLEASE STORE 1195,Rent
TOLL BRIDGE - AUSTIN TX,Transport
FRONTIER AIRLINES /ONLINE,Travel
UBER TRIP /ONLINE,Transport
QUEST DIAGNOSTICS,Health
AUTH 8180 VENMO - LOS ANGELES CA,P2P
CARD 7989 APARTMENT RENT,Rent
TAPROOM *6654,Bars
POS 3078 UNITED AIRLINES - AUSTIN TX,Travel
WEB 1269 H&M STORE 1269,Shopping
WEB 8105 JERSEY MIKE'S STORE 8105,Restaurants
NFL GAMEPASS #6490,Entertainment
AUTH 2575 SPOTIFY /ONLINE,Entertainment
ULTA /ONLINE,Shopping
CARD 7296 MEIJER STORE 7296,Grocery
POS 7341 WALGREENS /ONLINE,Health
SAM'S CLUB #4471,Shopping
STAPLES *8760,Shopping
WEB 1268 SPECTRUM,Utilities
PAYMENT PEACOCK AUSTIN TX,Entertainment
PURCHASE ZAXBY'S STORE 3262,Restaurants
PAYMENT CHIROPRACTOR,Health
AMTRAK SAN JOSE CA,Transport
PAYMENT REGAL CINEMAS,Entertainment
WEB 8583 GIANT FOOD,Grocery
SPOTIFY - LOS ANGELES CA,Entertainment
REVOLUT STORE 4212,P2P
HOME DEPOT,Shopping
AUTH 4512 AUDIBLE #4512,Entertainment
CARD 1228 VONS,Grocery
UNITED AIRLINES,Travel
LIVE NATION /ONLINE,Entertainment
ENTERPRISE RENTAL,Transport
WEB 8966 CASH ADVANCE FEE,Fees
WEB 3167 ORTHO CLINIC,Health
TRUE VALUE SAN FRANCISCO CA,Other
CARD 5976 DUTCH BROS,Coffee
POS 9376 CANCER CENTER SAN FRANCISCO CA,Health
CARD 5778 LYFT AIRPORT STORE 5778,Travel
WEB 3158 SAM'S CLUB,Shopping
PURCHASE SPIRIT AIRLINES,Travel
POS 6833 TICKETMASTER STORE 6833,Entertainment
AUTH 9248 IRISH PUB *9248,Bars
SQUARE CASH STORE 3219,P2P
PURCHASE FRED MEYER STORE 6427,Grocery
PURCHASE WINCO,Grocery
ROOFTOP BAR #9967,Bars
AUTH 7291 BEER GARDEN,Bars
POS 9496 DISNEY+,Entertainment
POS 1145 LOCAL MARKET,Other
PURCHASE ANNUAL FEE - SEATTLE WA,Fees
AIRPORT SHUTTLE SAN JOSE CA,Transport
BANK FEE,Fees
AUTH 2757 CIRCLE K #2757,Gas
LIME BIKE - SEATTLE WA,Transport
GOOGLE PAY #2666,P2P
BANK FEE - SEATTLE WA,Fees
LANDLORD TRANSFER #7200,Rent
POS 5485 PRIMARY CARE #5485,Health
PURCHASE WHISKEY BAR,Bars
CARD 8730 AVAIL.CO *8730,Rent
PURCHASE WISE TRANSFER #5119,P2P
WEB 2651 CALTRAIN,Transport
POS 7350 CIDER HOUSE - OAKLAND CA,Bars
PAYMENT BUFFALO WILD WINGS BAR *3805,Bars
PURCHASE GIANT FOOD,Grocery
POS 3829 REMITLY,P2P
POS 6049 LABCORP STORE 6049,Health
CITY GARBAGE STORE 9162,Utilities
PURCHASE CARIBOU COFFEE STORE 9735,Coffee
PURCHASE CHIME TRANSFER #1054,P2P
POS 3867 STATEMENT FEE #3867,Fees
CARD 5970 THRIFT STORE,Other
WEB 4330 HOME DEPOT /ONLINE,Shopping
AUTH 8314 MICROBREWERY,Bars
PAYMENT UNIQLO *7989,Shopping
CARD 9386 PRIMARY CARE /ONLINE,Health
PAYMENT CHEVRON STORE 4649,Gas
POS 2292 REVOLUT *2292,P2P
WIRE FEE STORE 4451,Fees
CARD 9765 FUNIMATION,Entertainment
TAXI SERVICE,Transport
WEB 7128 SOUTHWEST,Travel
CITY PARKING /ONLINE,Transport
PAYMENT GULF OIL - SAN JOSE CA,Gas
WEB 5862 AIRPORT SHUTTLE STORE 5862,Transport
PAYMENT COFFEE REPUBLIC *7082,Coffee
P.F. CHANG'S STORE 5050,Restaurants
PURCHASE CARD REPLACEMENT FEE,Fees
WEB 3240 RENT PAYMENT PORTAL STORE 3240,Rent
HARDWARE STORE,Other
PURCHASE CASH APP - SAN FRANCISCO CA,P2P
YARDI RENT - SEATTLE WA,Rent
COCKTAIL CLUB STORE 9952,Bars
CARD 8412 STREET VENDOR *8412,Other
BREWHOUSE,Bars
POS 9876 H&M STORE 9876,Shopping
POS 7511 BOOKING.COM /ONLINE,Travel
WEB 8760 UNIQLO #8760,Shopping
AUTH 8707 LYFT XL /ONLINE,Transport
CARD 6026 HAPPY HOUR LOUNGE,Bars
RENTCAFE /ONLINE,Rent
KOHL'S,Shopping
PAYMENT WALGREENS *9815,Health
STUMPTOWN #6564,Coffee
PURCHASE WINGSTOP #6598,Restaurants
PAYMENT GETTY *1544,Gas
POS 7974 CHEVRON *7974,Gas
PURCHASE DOLLAR TREE,Other
PURCHASE BOOKING.COM *9244,Travel
PURCHASE SUNOCO,Gas
HARBOR FREIGHT - NEW YORK NY,Other
PURCHASE YARD HOUSE,Bars
CHEVRON OAKLAND CA,Gas
CARD 9234 SHAKE SHACK,Restaurants
WEB 8154 TRUE VALUE *8154,Other
PAYMENT AMTRAK,Transport
AUTH 7276 IHOP,Restaurants
HARDEE'S,Restaurants
KOHL'S *2251,Shopping
WEB 5383 REGAL CINEMAS AUSTIN TX,Entertainment
AUTH 3676 STOP & SHOP *3676,Grocery
WEB 8271 GYM MEMBERSHIP /ONLINE,Health
POS 1356 VERIZON LOS ANGELES CA,Utilities
CARD 2167 ZELLE REQUEST - LOS ANGELES CA,P2P
SHELL #3974,Gas
WEB 8770 FRONTIER COMMUNICATIONS SAN FRANCISCO CA,Utilities
POS 2970 THE LOCAL PUB - SAN JOSE CA,Bars
POS 2146 ESSO /ONLINE,Gas
WEB 7997 YARD HOUSE,Bars
WEB 2626 BARCADE *2626,Bars
AUTH 7610 GAS BUDDY STORE 7610,Gas
POS 5280 FRONTIER COMMUNICATIONS,Utilities
SIRIUSXM,Entertainment
WEB 7882 BREWHOUSE,Bars
AUTH 2298 HARRIS TEETER #2298,Grocery
CARD 6558 VONS - NEW YORK NY,Grocery
AUTH 6896 IN-N-OUT,Restaurants
UBERPOOL,Transport
WEB 1906 STATEMENT FEE *1906,Fees
ARBY'S - BERKELEY CA,Restaurants
PURCHASE PAYPAL FRIENDS,P2P
PURCHASE TRADER JOE'S #4278,Grocery
NFL GAMEPASS,Entertainment
POS 8111 SALVATION ARMY - AUSTIN TX,Other
AT&T,Utilities
CARD 4342 WHATABURGER *4342,Restaurants
CARD 7440 BOOKING.COM SAN JOSE CA,Travel
YARDI RENT,Rent
TSA PRECHECK - SAN FRANCISCO CA,Travel
ZAXBY'S,Restaurants
WEB 7974 CARIBOU COFFEE /ONLINE,Coffee
CARD 5801 CHIME TRANSFER OAKLAND CA,P2P
AUTH 3772 CIRCLE K,Gas
POS 7506 HARDEE'S OAKLAND CA,Restaurants
WEB 1398 LAVAZZA CAFE BERKELEY CA,Coffee
CARD 4109 AIRPORT SHUTTLE /ONLINE,Transport
PAYMENT DOMINO'S PIZZA,Restaurants
CARD 8969 PAYPAL FRIENDS STORE 8969,P2P
WEB 6150 PUBLIX - OAKLAND CA,Grocery
PAYMENT XBOX LIVE /ONLINE,Entertainment
POS 7915 MONTHLY SERVICE FEE OAKLAND CA,Fees
CARD 9182 WIRE FEE #9182,Fees
WEB 8374 WOW INTERNET STORE 8374,Utilities
AUTH 5224 SMUD ENERGY,Utilities
PAYMENT STARBUCKS - SEATTLE WA,Coffee
PURCHASE MACY'S SAN JOSE CA,Shopping
WEB 1466 ATM FEE,Fees
WEB 9904 MOBIL /ONLINE,Gas
CARD 8921 STREET VENDOR,Other
MARRIOTT *5042,Travel
FOREIGN TRANSACTION FEE OAKLAND CA,Fees
GAMESTOP #1201,Shopping
PAYMENT REALPAGE PAYMENTS,Rent
ESSO,Gas
PURCHASE AMAZON,Shopping
PROPERTY MANAGEMENT,Rent
DUTCH BROS OAKLAND CA,Coffee
PG&E,Utilities
AMAZON STORE 3298,Shopping
PURCHASE LA COLOMBE,Coffee
ZARA STORE 4933,Shopping
PAYMENT HILTON /ONLINE,Travel
PURCHASE SQUARE CASH *5376,P2P
RENTCAFE STORE 2833,Rent
AUTH 8117 ZARA #8117,Shopping
PAYMENT BATH & BODY WORKS - AUSTIN TX,Shopping
PURCHASE SPEEDWAY STORE 1575,Gas
AUTH 3916 UBER TRIP,Transport
PURCHASE WINE BAR *3234,Bars
AUTH 9645 ZARA /ONLINE,Shopping
WEB 1797 COCKTAIL CLUB,Bars
CAR WASH *3153,Other
PURCHASE FOREIGN TRANSACTION FEE NEW YORK NY,Fees
CARD 4967 PHILLIPS 66,Gas
HOME DEPOT,Shopping
PURCHASE ZELLE REQUEST,P2P
LOCAL MARKET STORE 8448,Other
PURCHASE WISE TRANSFER SAN JOSE CA,P2P
AIRPORT SHUTTLE,Transport
PAYMENT MARRIOTT /ONLINE,Travel
CARD 5193 MCDONALD'S SAN FRANCISCO CA,Restaurants
PAYMENT ALDI - SAN JOSE CA,Grocery
POS 4297 PROPERTY MANAGEMENT STORE 4297,Rent
POS 2151 UBER AIRPORT,Travel
LOCAL MARKET,Other
PAYMENT CARIBOU COFFEE,Coffee
GENERAL MERCHANT *7152,Other
PAYMENT TEXACO *2390,Gas
CARD 2076 WISE TRANSFER - OAKLAND CA,P2P
AUTH 2515 GLORIA JEAN'S #2515,Coffee
POS 6298 WINE BAR /ONLINE,Bars
WEB 8586 GAS BUDDY,Gas
AUTH 8477 OVERDRAFT FEE,Fees
AUTH 2359 DUTCH BROS - NEW YORK NY,Coffee
SPEEDWAY *1574,Gas
WEB 3019 AMTRAK /ONLINE,Transport
PURCHASE SPIRIT AIRLINES *5511,Travel
PURCHASE GIANT FOOD STORE 1016,Grocery
PAYMENT TAPHOUSE *6563,Bars
PATREON /ONLINE,Entertainment
KING SOOPERS STORE 1383,Grocery
CARD 9378 ANNUAL FEE,Fees
PAYMENT ELECTRIC CO-OP #7182,Utilities
POS 6575 LAVAZZA CAFE - OAKLAND CA,Coffee
AUTH 8607 WINE BAR /ONLINE,Bars
POS 1987 GIANT FOOD #1987,Grocery
WEB 9536 SUNOCO,Gas
TIM HORTONS /ONLINE,Coffee
PAYMENT CIRCLE K #4384,Gas
DUTCH BROS BERKELEY CA,Coffee
AUTH 1901 PET STORE - SAN JOSE CA,Other
PURCHASE LAVAZZA CAFE SAN FRANCISCO CA,Coffee
HOSPITAL BILL,Health
WEB 7257 SECOND CUP STORE 7257,Coffee
PAYMENT REVOLUT,P2P
WISE TRANSFER AUSTIN TX,P2P
WEB 6344 PROPERTY MANAGEMENT,Rent
WEB 4977 DOLLAR GENERAL - SAN FRANCISCO CA,Other
AUTH 3558 ONLINE RENT PAYMENT,Rent
WEB 4715 DONATION,Other
WEB 7336 T-MOBILE - OAKLAND CA,Utilities
WINCO #3487,Grocery
PRIMARY CARE LOS ANGELES CA,Health
SPECTRUM STORE 5656,Utilities
EMERGENCY ROOM OAKLAND CA,Health
MOBIL - SEATTLE WA,Gas
POS 7346 KAISER,Health
AT&T,Utilities
POS 2903 OVERDRAFT FEE STORE 2903,Fees
AUTH 5655 SERVICE CHARGE,Fees
AUTH 8319 PAYLEASE #8319,Rent
JAVAHOUSE,Coffee
WEB 8263 LAVAZZA CAFE,Coffee
AUTH 7976 GULF OIL,Gas
WEB 3472 CAFE NERO,Coffee
METRONET - BERKELEY CA,Utilities
PAYMENT COX COMMUNICATIONS,Utilities
OVERDRAFT FEE,Fees
PAYMENT NIKE STORE,Shopping
AUTH 2070 THE LOCAL PUB *2070,Bars
POS 3067 STEAM GAMES #3067,Entertainment
ADT SECURITY - LOS ANGELES CA,Utilities
CARD 6039 MAINTENANCE FEE STORE 6039,Fees
PURCHASE LYFT AIRPORT,Travel
VENMO REQUEST - OAKLAND CA,P2P
PEACOCK,Entertainment
PAYMENT BOJANGLES *5832,Restaurants
AUTH 2650 GOODWILL LOS ANGELES CA,Other
PAYMENT PARKING METER SEATTLE WA,Transport
AUTH 1738 ADT SECURITY - LOS ANGELES CA,Utilities
BANK FEE AUSTIN TX,Fees
FOREIGN TRANSACTION FEE,Fees
PURCHASE BARCADE *8014,Bars
WEB 2574 WALMART,Shopping
REALPAGE PAYMENTS,Rent
WATER BILL,Utilities
POS 6465 PAYPAL FRIENDS STORE 6465,P2P
AUTH 3522 WALGREENS,Health
PAYMENT GOOGLE PAY /ONLINE,P2P
FARMERS MARKET STORE 2796,Other
GIANT EAGLE,Grocery
PAYMENT DOLLAR GENERAL STORE 6203,Other
PURCHASE ELECTRIC CO-OP STORE 2063,Utilities
KAISER #3844,Health
PURCHASE REVOLUT STORE 9983,P2P
PURCHASE PARAMOUNT+,Entertainment
PAYMENT FRESH MARKET STORE 8931,Grocery
LA COLOMBE,Coffee
PURCHASE PEACOCK - NEW YORK NY,Entertainment
PURCHASE GIANT FOOD SAN JOSE CA,Grocery
WEB 2881 PRIMARY CARE,Health
PURCHASE REALPAGE PAYMENTS /ONLINE,Rent
POS 5539 LYFT XL STORE 5539,Transport
PAYMENT CHEVRON,Gas
CARD 5837 TARGET,Shopping
PURCHASE WALGREENS,Health
WEB 1539 WENDY'S,Restaurants
SQUARE CASH STORE 9327,P2P
ULTA - SAN JOSE CA,Shopping
PROPERTY MANAGEMENT STORE 1908,Rent
WEB 2274 KROGER,Grocery
PURCHASE TJ MAXX,Shopping
PAYMENT HOSPITAL BILL,Health
AUTH 1939 APARTMENTS LLC #1939,Rent
PAYMENT EBAY,Shopping
CARD 5757 BOJANGLES,Restaurants
POS 5405 BUDGET RENTAL NEW YORK NY,Transport
SMUD ENERGY,Utilities
WEB 2942 WHISKEY BAR,Bars
CARD 6326 APPLE STORE,Shopping
PAYMENT TACO BELL,Restaurants
POS 3693 HILTON - NEW YORK NY,Travel
AUTH 8698 HARDWARE STORE - BERKELEY CA,Other
CARD 3899 HILTON - NEW YORK NY,Travel
THE LOCAL PUB #6437,Bars
BREWER'S TAPROOM *7241,Bars
ZELLE /ONLINE,P2P
PURCHASE DISTILLERY BAR,Bars
PAYLEASE /ONLINE,Rent
AUTH 6000 HOSPITAL BILL *6000,Health
POS 6581 SMUD ENERGY *6581,Utilities
MARRIOTT STORE 2232,Travel
FANDANGO STORE 8308,Entertainment
PURCHASE MEGABUS STORE 7658,Transport
SWEETGREEN STORE 9494,Restaurants
PAYMENT RITE AID #9911,Health
AUTH 7438 IRISH PUB /ONLINE,Bars
SONIC INTERNET - NEW YORK NY,Utilities
CARD 4428 WELLNESS CENTER OAKLAND CA,Health
KING SOOPERS - BERKELEY CA,Grocery
PANERA BREAD,Restaurants
AUTH 7034 GULF OIL - OAKLAND CA,Gas
TEXACO,Gas
EXPEDIA STORE 3572,Travel
CARD 2717 ULTA #2717,Shopping
VENMO REQUEST /ONLINE,P2P
SUNOCO /ONLINE,Gas
PURCHASE TJ MAXX - LOS ANGELES CA,Shopping
WEB 4726 TRUE VALUE - BERKELEY CA,Other
WEB 4311 SPEEDWAY #4311,Gas
MEGABUS /ONLINE,Transport
POS 2075 BANDCAMP *2075,Entertainment
COX COMMUNICATIONS,Utilities
WHITE CASTLE - SEATTLE WA,Restaurants
CANCER CENTER,Health
CITY GARBAGE *7840,Utilities
VALERO #8698,Gas
WEB 3739 PAYPAL TRANSFER,P2P
WALGREENS SAN FRANCISCO CA,Health
CARD 3224 MICROBREWERY STORE 3224,Bars
AUTH 3589 MICROBREWERY SEATTLE WA,Bars
PURCHASE PROPERTY MANAGEMENT,Rent
POS 9150 UNIQLO,Shopping
MOBIL SEATTLE WA,Gas
POS 5754 LYFT AIRPORT,Travel
AUTH 7540 CHILI'S BAR /ONLINE,Bars
POS 1241 DOLLAR GENERAL,Other
AUTH 1685 PRICELINE,Travel
WEB 2393 COFFEE REPUBLIC,Coffee
POS 8725 STEAM GAMES /ONLINE,Entertainment
WEB 8224 AVAIL.CO,Rent
PAYMENT COFFEE REPUBLIC,Coffee
PAYMENT PAVILIONS,Grocery
AUTH 7395 STAPLES *7395,Shopping
SECOND CUP,Coffee
AUTH 1432 NOB HILL FOODS,Grocery
WEB 3792 XFINITY SAN JOSE CA,Utilities
PAYMENT DOLLAR GENERAL - LOS ANGELES CA,Other
SONIC INTERNET - LOS ANGELES CA,Utilities
PURCHASE HOME DEPOT STORE 2973,Shopping
WEB 6614 APPLE STORE /ONLINE,Shopping
AUTH 2596 MAINTENANCE FEE #2596,Fees
PAYMENT CVS PHARMACY *5696,Health
PANDA EXPRESS - SAN FRANCISCO CA,Restaurants
CARD 5761 PARKING METER /ONLINE,Transport
PHILLIPS 66,Gas
POS 6686 GOOGLE PAY #6686,P2P
POS 1245 SHELL AUSTIN TX,Gas
CARD 5103 SPEEDWAY #5103,Gas
WEB 6283 NORDSTROM STORE 6283,Shopping
POS 7588 ESSO,Gas
CARD 7864 INTELLIGENTSIA,Coffee
DUTCH BROS,Coffee
AIRPORT SHUTTLE STORE 8836,Transport
PURCHASE BANK FEE - LOS ANGELES CA,Fees
PURCHASE FANDANGO,Entertainment
AUTH 3954 COMMUNITY CENTER,Other
CARD 8952 BP /ONLINE,Gas
WEB 7372 DUTCH BROS,Coffee
CARD 3646 XBOX LIVE BERKELEY CA,Entertainment
POS 1732 APPLEBEE'S *1732,Restaurants
RED LOBSTER SAN JOSE CA,Restaurants
PURCHASE PAVILIONS,Grocery
POS 4841 CASH APP,P2P
POS 7267 ZELLE REQUEST,P2P
WEB 8789 ATM FEE #8789,Fees
CARD 5479 LOCAL MARKET *5479,Other
WEB 4387 LABCORP,Health
PAYMENT DOLLAR TREE /ONLINE,Other
RENT PAYMENT PORTAL BERKELEY CA,Rent
DELTA VACATIONS,Travel
WEB 1806 GIANT EAGLE SAN FRANCISCO CA,Grocery
HARDEE'S,Restaurants
PURCHASE VENMO - BERKELEY CA,P2P
PAYMENT CAFE NERO STORE 2593,Coffee
AUTH 1448 WHATABURGER - NEW YORK NY,Restaurants
PATREON,Entertainment
PURCHASE H&M #8165,Shopping
CARD 1718 EXXONMOBIL AUSTIN TX,Gas
PAYMENT GELSON'S,Grocery
WEB 5957 REMITLY #5957,P2P
POS 3769 OPTOMETRY CENTER SAN JOSE CA,Health
PAYMENT OVERDRAFT FEE STORE 7351,Fees
PAYMENT FRED MEYER - SAN JOSE CA,Grocery
WEB 7678 ZIPCAR,Transport
POS 3069 TRANSFER FEE /ONLINE,Fees
PUBLIX *7714,Grocery
AUTH 3874 GOOGLE PAY /ONLINE,P2P
SECOND CUP STORE 5503,Coffee
PAYMENT FOOD LION - SAN JOSE CA,Grocery
SALVATION ARMY #6549,Other
POS 4630 AT&T INTERNET STORE 4630,Utilities
ZELLE #9938,P2P
PURCHASE ZILLOW RENT,Rent
CARD 9594 GELSON'S NEW YORK NY,Grocery
WEB 5181 TRANSFER FEE #5181,Fees
CARD 8763 YARD HOUSE #8763,Bars
PAYMENT LA COLOMBE *9051,Coffee
PURCHASE ACME MARKETS - OAKLAND CA,Grocery
POS 9852 FAMILY DOLLAR #9852,Other
VERIZON /ONLINE,Utilities
CRUNCHYROLL *8700,Entertainment
SERVICE CHARGE /ONLINE,Fees
PAYMENT GREYHOUND,Transport
CARD 4138 SQUARE CASH SAN JOSE CA,P2P
CARD 7977 CRUNCHYROLL - SAN JOSE CA,Entertainment
POS 6942 PRIMARY CARE #6942,Health
