date,description,category,amount,account
2025-05-29,Target,Shopping,-152.37,Checking
2025-07-09,Company Payroll,Salary,2095.37,Checking
2025-04-24,Whole Foods,Groceries,-50.61,Checking
2025-03-25,Company Payroll,Salary,3098.14,Checking
2025-06-22,PayPal,Misc,-89.56,Checking
2025-08-05,Company Payroll,Salary,2918.14,Checking
2025-08-05,Walmart,Groceries,-97.12,Checking
2025-06-25,Walgreens,Healthcare,-36.19,Checking
2025-05-03,Netflix,Entertainment,-180.13,Checking
2025-06-02,Uber,Transportation,-169.73,Checking
2025-09-02,Trader Joe's,Groceries,-48.7,Checking
2025-07-26,Company Payroll,Salary,2540.09,Checking
2025-07-14,Spotify,Entertainment,-28.64,Checking
2025-06-05,AT&T,Utilities,-197.36,Checking
2025-06-14,CVS Pharmacy,Healthcare,-112.67,Checking
2025-03-22,Target,Shopping,-113.61,Checking
2025-07-13,Whole Foods,Groceries,-46.53,Checking
2025-04-13,Olive Garden,Restaurants,-108.26,Checking
2025-03-11,PayPal,Misc,-144.74,Checking
2025-05-06,Comcast,Utilities,-122.94,Checking
2025-03-23,Subway,Restaurants,-16.31,Checking
2025-08-21,AT&T,Utilities,-61.07,Checking
2025-06-23,Landlord LLC,Rent,-165.36,Checking
2025-08-06,AT&T,Utilities,-172.22,Checking
2025-06-22,Hulu,Entertainment,-130.8,Checking
2025-08-24,Safeway,Groceries,-117.67,Checking
2025-08-06,Company Payroll,Salary,3242.79,Checking
2025-05-19,Landlord LLC,Rent,-124.98,Checking
2025-03-27,CVS Pharmacy,Healthcare,-149.62,Checking
2025-05-31,Uber,Transportation,-132.55,Checking
2025-05-22,Spotify,Entertainment,-76.21,Checking
2025-05-30,Landlord LLC,Rent,-36.65,Checking
2025-03-09,Olive Garden,Restaurants,-145.07,Checking
2025-07-27,Safeway,Groceries,-118.58,Checking
2025-08-28,PayPal,Misc,-72.85,Checking
2025-08-05,Company Payroll,Salary,3827.85,Checking
2025-06-23,Landlord LLC,Rent,-9.34,Checking
2025-05-12,Landlord LLC,Rent,-72.73,Checking
2025-05-19,Best Buy,Shopping,-94.89,Checking
2025-09-02,Company Payroll,Salary,2718.8,Checking
2025-03-08,AT&T,Utilities,-93.3,Checking
2025-05-31,Safeway,Groceries,-157.1,Checking
2025-05-13,Company Payroll,Salary,3067.02,Checking
2025-06-18,Spotify,Entertainment,-146.19,Checking
2025-04-18,Amazon,Shopping,-47.29,Checking
2025-08-17,Lyft,Transportation,-169.43,Checking
2025-05-15,Whole Foods,Groceries,-76.8,Checking
2025-03-18,Spotify,Entertainment,-45.26,Checking
2025-07-13,Olive Garden,Restaurants,-123.18,Checking
2025-05-07,PayPal,Misc,-106.49,Checking
2025-05-27,Hulu,Entertainment,-99.14,Checking
2025-04-20,PG&E,Utilities,-148.01,Checking
2025-04-08,Spotify,Entertainment,-37.47,Checking
2025-05-07,Shell Gas,Transportation,-131.84,Checking
2025-05-11,PayPal,Misc,-39.71,Checking
2025-05-23,Exxon,Transportation,-73.61,Checking
2025-04-30,Comcast,Utilities,-124.05,Checking
2025-05-02,Hulu,Entertainment,-97.65,Checking
2025-07-09,CVS Pharmacy,Healthcare,-16.43,Checking
2025-04-12,Netflix,Entertainment,-129.88,Checking
2025-07-03,Uber,Transportation,-166.56,Checking
2025-03-17,PG&E,Utilities,-130.8,Checking
2025-03-10,Netflix,Entertainment,-47.21,Checking
2025-03-16,PayPal,Misc,-93.57,Checking
2025-06-30,Uber,Transportation,-130.72,Checking
2025-08-09,McDonald's,Restaurants,-36.0,Checking
2025-03-16,Uber,Transportation,-187.04,Checking
2025-04-12,Landlord LLC,Rent,-8.25,Checking
2025-07-09,AT&T,Utilities,-8.19,Checking
2025-07-19,Spotify,Entertainment,-198.92,Checking
2025-04-04,Subway,Restaurants,-165.31,Checking
2025-06-06,PG&E,Utilities,-56.0,Checking
2025-03-08,Chipotle,Restaurants,-163.94,Checking
2025-05-19,Walgreens,Healthcare,-174.8,Checking
2025-03-25,Walgreens,Healthcare,-48.47,Checking
2025-05-01,Whole Foods,Groceries,-69.39,Checking
2025-06-02,Venmo,Misc,-95.94,Checking
2025-07-27,PG&E,Utilities,-185.88,Checking
2025-06-19,Olive Garden,Restaurants,-161.55,Checking
2025-07-06,Walmart,Groceries,-50.86,Checking
2025-05-28,McDonald's,Restaurants,-34.46,Checking
2025-05-11,Venmo,Misc,-157.91,Checking
2025-03-26,PayPal,Misc,-27.66,Checking
2025-04-12,Venmo,Misc,-108.11,Checking
2025-03-23,Walgreens,Healthcare,-177.92,Checking
2025-05-06,CVS Pharmacy,Healthcare,-58.51,Checking
2025-06-08,Walgreens,Healthcare,-121.81,Checking
2025-06-26,PG&E,Utilities,-102.1,Checking
2025-06-24,Venmo,Misc,-33.9,Checking
2025-03-16,Olive Garden,Restaurants,-66.99,Checking
2025-04-24,Landlord LLC,Rent,-110.07,Checking
2025-04-08,Chipotle,Restaurants,-160.54,Checking
2025-07-27,Comcast,Utilities,-197.75,Checking
2025-05-10,Company Payroll,Salary,2371.59,Checking
2025-05-22,Whole Foods,Groceries,-31.03,Checking
2025-03-28,Company Payroll,Salary,3679.78,Checking
2025-06-12,Whole Foods,Groceries,-159.78,Checking
2025-08-22,Netflix,Entertainment,-179.49,Checking
2025-05-06,CVS Pharmacy,Healthcare,-50.72,Checking
2025-05-13,Amazon,Shopping,-40.47,Checking
2025-07-28,Company Payroll,Salary,3661.63,Checking
2025-05-16,Trader Joe's,Groceries,-45.31,Checking
2025-08-31,Subway,Restaurants,-194.99,Checking
2025-05-25,Company Payroll,Salary,2812.69,Checking
2025-03-14,Olive Garden,Restaurants,-91.08,Checking
2025-06-19,Best Buy,Shopping,-106.93,Checking
2025-08-11,Venmo,Misc,-29.1,Checking
2025-08-10,Lyft,Transportation,-90.97,Checking
2025-07-11,Lyft,Transportation,-28.33,Checking
2025-05-16,CVS Pharmacy,Healthcare,-71.88,Checking
2025-07-26,Landlord LLC,Rent,-96.86,Checking
2025-03-07,CVS Pharmacy,Healthcare,-23.36,Checking
2025-04-06,CVS Pharmacy,Healthcare,-131.57,Checking
2025-07-30,Lyft,Transportation,-97.0,Checking
2025-03-23,AT&T,Utilities,-186.98,Checking
2025-05-28,Shell Gas,Transportation,-90.26,Checking
2025-04-10,Best Buy,Shopping,-174.09,Checking
2025-05-03,Walmart,Groceries,-175.01,Checking
2025-07-31,Comcast,Utilities,-147.68,Checking
2025-05-30,Landlord LLC,Rent,-150.29,Checking
2025-07-25,Safeway,Groceries,-195.87,Checking
2025-04-20,PayPal,Misc,-119.11,Checking
2025-06-05,Best Buy,Shopping,-112.55,Checking
2025-05-06,Company Payroll,Salary,2099.63,Checking
2025-07-17,Olive Garden,Restaurants,-16.84,Checking
2025-06-25,Chipotle,Restaurants,-177.51,Checking
2025-06-08,CVS Pharmacy,Healthcare,-31.09,Checking
2025-07-04,Landlord LLC,Rent,-193.02,Checking
2025-07-03,Lyft,Transportation,-159.58,Checking
2025-07-22,CVS Pharmacy,Healthcare,-95.31,Checking
2025-04-27,PayPal,Misc,-62.68,Checking
2025-05-20,McDonald's,Restaurants,-72.82,Checking
2025-03-26,Subway,Restaurants,-40.34,Checking
2025-05-08,PG&E,Utilities,-134.89,Checking
2025-04-26,Lyft,Transportation,-138.33,Checking
2025-06-27,Chipotle,Restaurants,-157.05,Checking
2025-07-16,Safeway,Groceries,-88.96,Checking
2025-07-09,Best Buy,Shopping,-140.34,Checking
2025-07-01,Trader Joe's,Groceries,-123.84,Checking
2025-05-16,Company Payroll,Salary,2471.8,Checking
2025-04-15,Walgreens,Healthcare,-78.76,Checking
2025-04-19,Safeway,Groceries,-168.77,Checking
2025-05-16,AT&T,Utilities,-103.64,Checking
2025-07-01,Spotify,Entertainment,-32.12,Checking
2025-06-10,Best Buy,Shopping,-9.84,Checking
2025-03-26,McDonald's,Restaurants,-98.99,Checking
2025-05-18,Safeway,Groceries,-43.26,Checking
2025-04-22,PG&E,Utilities,-45.38,Checking
2025-08-06,Spotify,Entertainment,-150.13,Checking
2025-03-15,McDonald's,Restaurants,-146.4,Checking
2025-05-07,PayPal,Misc,-19.3,Checking
2025-07-02,Uber,Transportation,-128.03,Checking
2025-08-07,Target,Shopping,-174.6,Checking
2025-06-12,CVS Pharmacy,Healthcare,-52.96,Checking
2025-03-30,Company Payroll,Salary,2287.43,Checking
2025-08-31,Exxon,Transportation,-183.64,Checking
2025-08-12,Trader Joe's,Groceries,-21.24,Checking
2025-04-29,McDonald's,Restaurants,-185.41,Checking
2025-08-02,Shell Gas,Transportation,-171.53,Checking
2025-04-29,AT&T,Utilities,-8.79,Checking
2025-08-14,Trader Joe's,Groceries,-83.47,Checking
2025-07-11,AT&T,Utilities,-93.74,Checking
2025-04-29,Landlord LLC,Rent,-26.31,Checking
2025-05-07,Trader Joe's,Groceries,-132.32,Checking
2025-05-29,Company Payroll,Salary,3511.76,Checking
2025-04-27,Venmo,Misc,-168.06,Checking
2025-08-23,Lyft,Transportation,-32.24,Checking
2025-06-27,Netflix,Entertainment,-135.95,Checking
2025-08-11,Amazon,Shopping,-50.87,Checking
2025-07-12,Landlord LLC,Rent,-171.05,Checking
2025-04-30,Uber,Transportation,-120.54,Checking
2025-04-28,Spotify,Entertainment,-82.13,Checking
2025-08-29,PayPal,Misc,-123.47,Checking
2025-05-05,Hulu,Entertainment,-80.79,Checking
2025-06-17,Landlord LLC,Rent,-138.23,Checking
2025-08-16,Target,Shopping,-56.06,Checking
2025-07-06,CVS Pharmacy,Healthcare,-14.5,Checking
2025-03-09,Trader Joe's,Groceries,-65.88,Checking
2025-08-09,CVS Pharmacy,Healthcare,-173.83,Checking
2025-08-23,Shell Gas,Transportation,-172.8,Checking
2025-06-29,Best Buy,Shopping,-9.77,Checking
2025-06-09,Whole Foods,Groceries,-116.99,Checking
2025-06-23,Venmo,Misc,-134.22,Checking
2025-03-25,Landlord LLC,Rent,-27.42,Checking
2025-05-08,Olive Garden,Restaurants,-159.06,Checking
2025-07-15,Landlord LLC,Rent,-156.83,Checking
2025-05-02,Whole Foods,Groceries,-149.59,Checking
2025-08-06,Spotify,Entertainment,-101.82,Checking
2025-06-25,Company Payroll,Salary,3009.33,Checking
2025-03-23,Company Payroll,Salary,3964.58,Checking
2025-05-12,Hulu,Entertainment,-18.03,Checking
2025-06-15,Company Payroll,Salary,2112.35,Checking
2025-08-02,Whole Foods,Groceries,-189.27,Checking
2025-08-07,Olive Garden,Restaurants,-126.36,Checking
2025-04-22,Spotify,Entertainment,-137.65,Checking
2025-04-19,Subway,Restaurants,-128.76,Checking
2025-06-24,Company Payroll,Salary,3857.68,Checking
2025-06-02,McDonald's,Restaurants,-66.61,Checking
2025-07-27,Chipotle,Restaurants,-35.48,Checking
2025-07-29,Walgreens,Healthcare,-42.85,Checking
2025-07-10,CVS Pharmacy,Healthcare,-132.53,Checking
2025-04-13,Shell Gas,Transportation,-114.29,Checking
2025-04-05,Landlord LLC,Rent,-172.51,Checking
2025-07-16,Landlord LLC,Rent,-36.67,Checking
2025-06-13,Company Payroll,Salary,3944.59,Checking
2025-04-17,Netflix,Entertainment,-7.0,Checking
2025-07-04,PG&E,Utilities,-47.86,Checking
2025-03-23,Chipotle,Restaurants,-192.94,Checking
2025-05-12,Uber,Transportation,-197.69,Checking
2025-07-07,Company Payroll,Salary,3270.18,Checking
2025-07-09,Uber,Transportation,-132.67,Checking
2025-08-15,Walgreens,Healthcare,-28.66,Checking
2025-07-11,Trader Joe's,Groceries,-30.18,Checking
2025-05-01,Subway,Restaurants,-47.24,Checking
2025-03-19,Landlord LLC,Rent,-77.76,Checking
2025-05-24,Exxon,Transportation,-130.68,Checking
2025-07-07,Exxon,Transportation,-85.74,Checking
2025-07-17,Landlord LLC,Rent,-104.63,Checking
2025-06-16,Landlord LLC,Rent,-34.06,Checking
2025-05-07,Landlord LLC,Rent,-81.93,Checking
2025-09-02,Safeway,Groceries,-134.08,Checking
2025-07-06,Netflix,Entertainment,-100.75,Checking
2025-04-22,Landlord LLC,Rent,-69.19,Checking
2025-05-01,Olive Garden,Restaurants,-46.07,Checking
2025-06-20,Uber,Transportation,-184.61,Checking
2025-09-02,Lyft,Transportation,-92.75,Checking
2025-04-23,Safeway,Groceries,-62.32,Checking
2025-09-02,CVS Pharmacy,Healthcare,-193.42,Checking
2025-03-11,CVS Pharmacy,Healthcare,-105.3,Checking
2025-03-26,Trader Joe's,Groceries,-124.38,Checking
2025-03-30,Trader Joe's,Groceries,-127.73,Checking
2025-05-11,Company Payroll,Salary,3369.28,Checking
2025-06-20,Chipotle,Restaurants,-177.0,Checking
2025-04-26,Landlord LLC,Rent,-24.5,Checking
2025-08-18,CVS Pharmacy,Healthcare,-169.49,Checking
2025-07-23,CVS Pharmacy,Healthcare,-13.3,Checking
2025-04-29,Spotify,Entertainment,-170.86,Checking
2025-04-16,PG&E,Utilities,-112.5,Checking
2025-08-30,Amazon,Shopping,-46.23,Checking
2025-07-25,Safeway,Groceries,-10.89,Checking
2025-03-22,Subway,Restaurants,-142.24,Checking
2025-05-31,PayPal,Misc,-84.97,Checking
2025-07-05,PayPal,Misc,-150.63,Checking
2025-06-22,Uber,Transportation,-37.8,Checking
2025-07-30,Venmo,Misc,-160.76,Checking
2025-05-26,Walgreens,Healthcare,-130.33,Checking
2025-07-06,Landlord LLC,Rent,-186.77,Checking
2025-04-01,Landlord LLC,Rent,-110.09,Checking
2025-07-06,Trader Joe's,Groceries,-102.09,Checking
2025-08-11,Shell Gas,Transportation,-14.66,Checking
2025-07-24,PayPal,Misc,-81.65,Checking
2025-08-24,Target,Shopping,-152.73,Checking
2025-03-11,Walmart,Groceries,-141.03,Checking
2025-08-05,Lyft,Transportation,-109.9,Checking
2025-03-22,Shell Gas,Transportation,-120.57,Checking
2025-03-15,Company Payroll,Salary,2072.89,Checking
2025-03-19,Uber,Transportation,-118.54,Checking
2025-08-04,Shell Gas,Transportation,-35.69,Checking
2025-03-20,Company Payroll,Salary,2631.32,Checking
2025-08-30,Best Buy,Shopping,-186.14,Checking
2025-03-13,Company Payroll,Salary,2101.09,Checking
2025-08-12,AT&T,Utilities,-136.32,Checking
2025-06-12,Walgreens,Healthcare,-146.88,Checking
2025-03-17,PG&E,Utilities,-160.48,Checking
2025-07-19,Netflix,Entertainment,-52.94,Checking
2025-03-22,Landlord LLC,Rent,-149.17,Checking
2025-07-25,Landlord LLC,Rent,-91.72,Checking
2025-05-02,Walgreens,Healthcare,-42.88,Checking
2025-03-12,Walgreens,Healthcare,-86.35,Checking
2025-05-27,Shell Gas,Transportation,-44.59,Checking
2025-04-06,McDonald's,Restaurants,-13.39,Checking
2025-04-12,AT&T,Utilities,-20.69,Checking
2025-05-17,Hulu,Entertainment,-58.21,Checking
2025-08-26,PayPal,Misc,-94.68,Checking
2025-03-20,Netflix,Entertainment,-153.74,Checking
2025-07-02,Landlord LLC,Rent,-71.7,Checking
2025-05-02,Walgreens,Healthcare,-161.99,Checking
2025-03-24,Exxon,Transportation,-39.37,Checking
2025-08-18,Landlord LLC,Rent,-181.98,Checking
2025-08-15,Spotify,Entertainment,-175.71,Checking
2025-07-03,Trader Joe's,Groceries,-52.95,Checking
2025-06-07,Spotify,Entertainment,-133.05,Checking
2025-06-12,Amazon,Shopping,-164.36,Checking
2025-04-23,CVS Pharmacy,Healthcare,-101.64,Checking
2025-06-21,Walgreens,Healthcare,-6.46,Checking
2025-03-20,AT&T,Utilities,-69.18,Checking
2025-05-09,McDonald's,Restaurants,-26.54,Checking
2025-05-17,Target,Shopping,-179.51,Checking
2025-06-10,Company Payroll,Salary,2884.45,Checking
2025-03-27,Safeway,Groceries,-95.02,Checking
2025-08-07,Walgreens,Healthcare,-119.15,Checking
2025-08-06,Exxon,Transportation,-197.33,Checking
2025-03-08,Company Payroll,Salary,2853.49,Checking
2025-03-30,Company Payroll,Salary,2673.98,Checking
2025-06-16,PayPal,Misc,-27.19,Checking
2025-07-31,Spotify,Entertainment,-191.21,Checking
2025-06-16,AT&T,Utilities,-109.33,Checking
2025-06-23,Spotify,Entertainment,-196.81,Checking
2025-08-09,CVS Pharmacy,Healthcare,-144.8,Checking
2025-04-23,Company Payroll,Salary,3550.69,Checking
2025-03-16,Safeway,Groceries,-188.77,Checking
2025-03-21,Landlord LLC,Rent,-111.35,Checking
2025-04-27,Company Payroll,Salary,2621.83,Checking
2025-05-13,Subway,Restaurants,-57.01,Checking
2025-03-07,Amazon,Shopping,-7.98,Checking
2025-04-25,Netflix,Entertainment,-22.85,Checking
2025-07-30,CVS Pharmacy,Healthcare,-116.37,Checking
2025-03-16,Hulu,Entertainment,-19.02,Checking
2025-07-07,Venmo,Misc,-49.2,Checking
2025-06-14,Venmo,Misc,-45.16,Checking
2025-06-21,Olive Garden,Restaurants,-68.64,Checking
2025-03-29,PG&E,Utilities,-65.21,Checking
2025-05-19,Company Payroll,Salary,3260.72,Checking
2025-08-13,Chipotle,Restaurants,-110.32,Checking
2025-08-05,Shell Gas,Transportation,-88.69,Checking
2025-06-01,Safeway,Groceries,-190.13,Checking
2025-07-20,Landlord LLC,Rent,-70.69,Checking
2025-07-31,Venmo,Misc,-20.55,Checking
2025-07-24,Landlord LLC,Rent,-83.38,Checking
2025-08-09,Spotify,Entertainment,-72.75,Checking
2025-03-28,Olive Garden,Restaurants,-43.58,Checking
2025-05-07,Company Payroll,Salary,2939.56,Checking
2025-03-15,Company Payroll,Salary,3713.25,Checking
2025-06-19,Walgreens,Healthcare,-136.75,Checking
2025-07-20,CVS Pharmacy,Healthcare,-67.58,Checking
2025-07-19,Whole Foods,Groceries,-181.73,Checking
2025-08-14,PayPal,Misc,-92.81,Checking
2025-08-08,Safeway,Groceries,-102.38,Checking
2025-04-09,Comcast,Utilities,-143.51,Checking
2025-04-06,Company Payroll,Salary,2570.77,Checking
2025-07-14,Safeway,Groceries,-117.39,Checking
2025-08-12,Best Buy,Shopping,-78.53,Checking
2025-08-04,Whole Foods,Groceries,-85.9,Checking
2025-04-07,Venmo,Misc,-183.3,Checking
2025-07-04,Landlord LLC,Rent,-147.29,Checking
2025-04-25,Company Payroll,Salary,2060.24,Checking
2025-06-01,Target,Shopping,-146.1,Checking
2025-08-21,Hulu,Entertainment,-55.48,Checking
2025-08-15,Spotify,Entertainment,-53.39,Checking
2025-08-03,Shell Gas,Transportation,-93.89,Checking
2025-07-26,Venmo,Misc,-147.87,Checking
2025-06-30,Venmo,Misc,-165.16,Checking
2025-08-29,Walmart,Groceries,-174.88,Checking
2025-04-27,McDonald's,Restaurants,-95.12,Checking
2025-05-01,Landlord LLC,Rent,-168.99,Checking
2025-06-20,Subway,Restaurants,-61.77,Checking
2025-07-25,Shell Gas,Transportation,-134.53,Checking
2025-05-15,Shell Gas,Transportation,-111.37,Checking
2025-07-06,Walmart,Groceries,-12.27,Checking
2025-04-07,Company Payroll,Salary,3968.05,Checking
2025-08-31,CVS Pharmacy,Healthcare,-82.63,Checking
2025-04-22,Landlord LLC,Rent,-114.65,Checking
2025-04-15,Safeway,Groceries,-149.0,Checking
2025-05-18,Landlord LLC,Rent,-112.1,Checking
2025-08-26,Venmo,Misc,-89.37,Checking
2025-06-13,Landlord LLC,Rent,-172.83,Checking
2025-07-19,CVS Pharmacy,Healthcare,-66.28,Checking
2025-06-20,Venmo,Misc,-63.54,Checking
2025-08-28,Walgreens,Healthcare,-197.62,Checking
2025-06-27,Amazon,Shopping,-105.52,Checking
2025-07-06,Landlord LLC,Rent,-106.07,Checking
2025-08-31,PG&E,Utilities,-49.48,Checking
2025-07-20,PG&E,Utilities,-74.27,Checking
2025-08-29,Exxon,Transportation,-31.12,Checking
2025-05-15,CVS Pharmacy,Healthcare,-77.19,Checking
2025-07-28,Company Payroll,Salary,2854.76,Checking
2025-06-06,Hulu,Entertainment,-121.74,Checking
2025-06-28,Walgreens,Healthcare,-162.06,Checking
2025-06-22,Uber,Transportation,-30.77,Checking
2025-08-31,Spotify,Entertainment,-63.79,Checking
2025-03-14,CVS Pharmacy,Healthcare,-38.31,Checking
2025-08-13,Spotify,Entertainment,-106.22,Checking
2025-08-01,Whole Foods,Groceries,-185.23,Checking
2025-07-21,Company Payroll,Salary,3473.84,Checking
2025-04-28,Trader Joe's,Groceries,-179.97,Checking
2025-07-24,Subway,Restaurants,-172.5,Checking
2025-06-01,Shell Gas,Transportation,-164.34,Checking
2025-07-01,Best Buy,Shopping,-38.74,Checking
2025-05-25,Landlord LLC,Rent,-179.6,Checking
2025-08-18,Netflix,Entertainment,-26.74,Checking
2025-05-20,Landlord LLC,Rent,-107.56,Checking
2025-05-10,Company Payroll,Salary,3339.44,Checking
2025-06-14,PayPal,Misc,-178.02,Checking
2025-03-13,Company Payroll,Salary,3404.54,Checking
2025-05-10,Safeway,Groceries,-139.92,Checking
2025-05-29,Walmart,Groceries,-56.23,Checking
2025-04-22,Landlord LLC,Rent,-55.29,Checking
2025-05-29,McDonald's,Restaurants,-198.31,Checking
2025-07-21,Safeway,Groceries,-61.89,Checking
2025-05-22,Landlord LLC,Rent,-166.96,Checking
2025-04-29,Safeway,Groceries,-20.6,Checking
2025-07-12,Company Payroll,Salary,2688.05,Checking
2025-08-01,Landlord LLC,Rent,-158.29,Checking
2025-06-18,Lyft,Transportation,-170.93,Checking
2025-03-12,Walmart,Groceries,-158.36,Checking
2025-03-22,CVS Pharmacy,Healthcare,-64.59,Checking
2025-05-20,Hulu,Entertainment,-126.83,Checking
2025-03-16,Chipotle,Restaurants,-47.32,Checking
2025-08-15,Trader Joe's,Groceries,-37.12,Checking
2025-08-09,Landlord LLC,Rent,-199.73,Checking
2025-07-20,Walgreens,Healthcare,-35.23,Checking
2025-04-19,Walgreens,Healthcare,-170.5,Checking
2025-03-09,Walgreens,Healthcare,-147.16,Checking
2025-03-07,AT&T,Utilities,-156.61,Checking
2025-08-28,Landlord LLC,Rent,-56.68,Checking
2025-06-27,Landlord LLC,Rent,-144.32,Checking
2025-08-10,Whole Foods,Groceries,-8.45,Checking
2025-08-26,Comcast,Utilities,-174.49,Checking
2025-08-02,Hulu,Entertainment,-44.01,Checking
2025-06-28,Target,Shopping,-21.89,Checking
2025-06-29,Subway,Restaurants,-151.21,Checking
2025-03-18,CVS Pharmacy,Healthcare,-41.77,Checking
2025-04-28,Company Payroll,Salary,2257.24,Checking
2025-05-12,Target,Shopping,-185.1,Checking
2025-09-01,Safeway,Groceries,-110.62,Checking
2025-08-17,McDonald's,Restaurants,-5.42,Checking
2025-07-03,Uber,Transportation,-34.1,Checking
2025-03-11,Landlord LLC,Rent,-17.71,Checking
2025-07-12,Whole Foods,Groceries,-190.96,Checking
2025-07-21,Lyft,Transportation,-179.78,Checking
2025-05-01,AT&T,Utilities,-197.15,Checking
2025-08-27,Netflix,Entertainment,-149.01,Checking
2025-03-24,Lyft,Transportation,-101.13,Checking
2025-05-03,PayPal,Misc,-128.8,Checking
2025-05-15,PayPal,Misc,-19.02,Checking
2025-05-04,McDonald's,Restaurants,-45.79,Checking
2025-06-04,Walgreens,Healthcare,-30.57,Checking
2025-04-13,Best Buy,Shopping,-47.87,Checking
2025-06-26,Company Payroll,Salary,2585.69,Checking
2025-03-29,Spotify,Entertainment,-130.54,Checking
2025-05-04,Netflix,Entertainment,-186.01,Checking
2025-07-22,Exxon,Transportation,-24.99,Checking
2025-08-30,Company Payroll,Salary,3295.94,Checking
2025-07-11,AT&T,Utilities,-100.12,Checking
2025-04-27,Chipotle,Restaurants,-178.12,Checking
2025-03-08,Trader Joe's,Groceries,-194.71,Checking
2025-05-07,Amazon,Shopping,-15.29,Checking
2025-08-12,Spotify,Entertainment,-114.54,Checking
2025-03-24,Walgreens,Healthcare,-131.26,Checking
2025-03-07,Hulu,Entertainment,-31.62,Checking
2025-05-02,Comcast,Utilities,-92.06,Checking
2025-08-07,Uber,Transportation,-47.95,Checking
2025-06-02,Hulu,Entertainment,-117.72,Checking
2025-08-10,Netflix,Entertainment,-106.02,Checking
2025-08-06,Olive Garden,Restaurants,-13.29,Checking
